COV #,VIN,Model,Model Name,Color,Plate #,Model Family,Demo or Display
41436,1HD4LE214GC401425,XL883N,Iron 883,HC GOLD FLAKE,,SPORTSTER,DISPLAY
41437,1HD1VAM12GC300953,FXDBP103,Street Bob,VELOCITY RED,,DYNA,DISPLAY
41438,1HD1VAM19GC300951,FXDBP103,Street Bob,BLACK QUARTZ,,DYNA,DISPLAY
41439,1HD1JRV12GB011019,FLS103,Slim,BLACK DENIM,,SOFTAIL,DISPLAY
41440,1HD1JRV16GB010925,FLS103,Slim,BLACK DENIM,,SOFTAIL,DISPLAY
41441,1HD1KRM1XGB606232,FLHXS,Street Glide Special,COSMIC BLUE PRL,,TOURING,DISPLAY
41442,1HD1KRM14GB601978,FLHXS,Street Glide Special,COSMIC BLUE PRL,,TOURING,DISPLAY
41443,1HD4NBB13GC500178,XG750,Street 750,BLACK,,STREET,DISPLAY
41444,1HD4NBB17GC500183,XG750,Street 750,SUPERIOR BLUE,,STREET,DISPLAY
41445,1HD1CT314GC400538,XL1200C,Sportster 1200 Custom,CHARCOAL PEARL,,SPORTSTER,DISPLAY
41446,1HD1LL317GC403322,XL1200T,Super Low 1200T,PRPLFR/BLKBY SM,,SPORTSTER,DISPLAY
41447,1HD1LF310GC402515,XL1200V,Seventy-Two,HC BLK GOLD FLK,,SPORTSTER,DISPLAY
41448,1HD1LC313GC401602,XL1200X,Forty-Eight,HC GOLD FLAKE,,SPORTSTER,DISPLAY
41449,1HD4CR217GC403483,XL883L,Super Low  ,CR ICE/FRD TEAL,,SPORTSTER,DISPLAY
41450,1HD4LE217GC401967,XL883N,Iron 883,BLACK DENIM,,SPORTSTER,DISPLAY
41451,1HD1GZM15GC301877,FLD103,Switchback,DEEP JADE PEARL,,DYNA,DISPLAY
41452,1HD1VAM14GC300792,FXDBP103,Street Bob,HCCANCUN BL FLK,,DYNA,DISPLAY
41453,1HD1GYM15GC301775,FXDF103,Fat Bob,OLIVE GOLD,,DYNA,DISPLAY
41454,1HD1GNM12GC301909,FXDL103,Low Rider,COSMIC BLUE PRL,,DYNA,DISPLAY
41455,1HD1JRV10GB010239,FLS103,Slim,CHAR STN/BLKSTN,,SOFTAIL,DISPLAY
41456,1HD1BWV11GB011072,FLSTC103,Heritage Softail Classic,WHSKY/V BLK,,SOFTAIL,DISPLAY
41457,1HD1BXV18GC010548,FLSTF,Fat Boy,BLACK,,SOFTAIL,DISPLAY
41458,,FLSTFBS,Fat Boy S,BLACK,,SOFTAIL,DISPLAY
41459,1HD1JDV14GB010506,FLSTN,Softail Deluxe,MYS RED/VEL RED,,SOFTAIL,DISPLAY
41460,1HD1BFV1XGB012124,FXSB103,Breakout,CRUSHED ICE PRL,,SOFTAIL,DISPLAY
41461,1HD1FBM19GB607416,FLHR,Road King,DEEP JADE/BLK,,TOURING,DISPLAY
41462,1HD1FCM11GB607187,FLHTCU,Ultra Classic,SUPERIOR BLUE,,TOURING,DISPLAY
41463,1HD1KDM12GB603652,FLHTCUL,Ultra Classic Low,PRPLFR/BLKBY SM,,TOURING,DISPLAY
41464,1HD1KEL16GB601622,FLHTK,Ultra Limited,BIL SLVR/V BLK,,TOURING,DISPLAY
41465,1HD1KKL12GB600403,FLHTKL,Ultra Limited Low,BLACK QUARTZ,,TOURING,DISPLAY
41466,1HD1KBM1XGB607517,FLHX,Street Glide,HC BLK GOLD FLK,,TOURING,DISPLAY
41467,1HD1KRM15GB606252,FLHXS,Street Glide Special,BLACK DENIM,,TOURING,DISPLAY
41468,1HD1KGL19GB605904,FLTRU,Road Glide Ultra,MYS RED/VEL RED,,TOURING,DISPLAY
41469,1HD1KHM17GB601256,FLTRX,Road Glide,AMBER WHISKEY,,TOURING,DISPLAY
41470,1HD1KTM11GB607623,FLTRXS,Road Glide Special ,HC GOLD FLAKE,,TOURING,DISPLAY
41471,1HD1MAL19GB850242,FLHTCUTG,Trike Tri Glide ,COSMIC BLUE PRL,,TRIKE,DISPLAY
41472,1HD1MCM18GB850078,FLRT,Trike Freewheeler,VELOCITY RED,,TRIKE,DISPLAY
41473,1HD1HHH13GC800193,VRSCDX,Night Rod Special,CHARCOAL DENIM,,V-Rod,DISPLAY
41474,1HD1HPH13GC800236,VRSCF,V-Rod Muscle,CR ICE PRL DLX,,V-Rod,DISPLAY
41475,1HD4NAA11GC500112,XG500,Street 500,SUPERIOR BLUE,,STREET,DISPLAY
41476,1HD4NBB16GC500207,XG750,Street 750,BLACK,,STREET,DISPLAY
41477,1HD1TEN19GB950302,FLHTKSE,CVO Limited,CHR SLT/PAL SLV,,TOURING,DISPLAY
41478,1HD1PXN1XGB950437,FLHXSE,CVO Street Glide,WHTAMTH/BLK LIC,,TOURING,DISPLAY
41479,1HD1TAN18GB950123,FLTRUSE,CVO Road Glide Ultra,RBY RED/PAL SLV,,TOURING,DISPLAY
41480,1HD1LF31XGC402232,XL1200V,Seventy-Two,HC GOLD FLAKE,,SPORTSTER,DISPLAY
41481,1HD1LC319GC401670,XL1200X,Forty-Eight,BILLET SILVER,,SPORTSTER,DISPLAY
41482,1HD1GZM12GC301738,FLD103,Switchback,BLACK,,DYNA,DEMO
41483,1HD1GXM19GC301319,FXDBP103,Street Bob,HCCANCUN BL FLK,,DYNA,DISPLAY
41484,1HD1VAM18GC300794,FXDBP103,Street Bob,SUPERIOR BLUE,,DYNA,DISPLAY
41485,1HD1JRV13GB010235,FLS103,Slim,CHARCOAL PEARL,,SOFTAIL,DEMO
41486,1HD1BXV15GC010085,FLSTF,Fat Boy,VELOCITY RED,,SOFTAIL,DEMO
41487,,FLSTFBS,Fat Boy S,BLACK,,SOFTAIL,DEMO
41488,1HD1BFV12GB010125,FXSB103,Breakout,VELOCITY RED,,SOFTAIL,DISPLAY
41489,1HD1KHM10GB604533,FLTRX,Road Glide,AMBER WHISKEY,,TOURING,DISPLAY
41490,1HD1HPH1XGC800203,VRSCF,V-Rod Muscle,CR ICE PRL DLX,,V-Rod,DISPLAY
41491,1HD1LC319GC401586,XL1200X,Forty-Eight,HCCANCUN BL FLK,S 41 69,SPORTSTER,DEMO
41492,1HD1LC318GC401952,XL1200X,Forty-Eight,HCCANCUN BL FLK,S 41 46,SPORTSTER,DEMO
41493,1HD1LC316GC400668,XL1200X,Forty-Eight,HCCANCUN BL FLK,S 41 05,SPORTSTER,DEMO
41494,1HD1LC312GC401591,XL1200X,Forty-Eight,HCCANCUN BL FLK,R 41 63,SPORTSTER,DEMO
41495,1HD1LC316GC400458,XL1200X,Forty-Eight,HCCANCUN BL FLK,P 41 82,SPORTSTER,DEMO
41496,1HD1LC316GC401397,XL1200X,Forty-Eight,HCCANCUN BL FLK,P 41 34,SPORTSTER,DEMO
41497,1HD4LE219GC401341,XL883N,Iron 883,HC GOLD FLAKE,S 41 34,SPORTSTER,DEMO
41498,1HD4LE217GC403315,XL883N,Iron 883,HC GOLD FLAKE,R 41 16,SPORTSTER,DEMO
41499,1HD4LE217GC401726,XL883N,Iron 883,HC GOLD FLAKE,R 41 04,SPORTSTER,DEMO
41500,1HD4LE213GC401576,XL883N,Iron 883,HC GOLD FLAKE,T 41 17,SPORTSTER,DEMO
41501,1HD4LE212GC400337,XL883N,Iron 883,HC GOLD FLAKE,T 41 42,SPORTSTER,DEMO
41502,1HD4LE21XGC403471,XL883N,Iron 883,HC GOLD FLAKE,P 41 51,SPORTSTER,DEMO
41503,1HD1VAM13GC300671,FXDBP103,Street Bob,DEEP JADE PEARL,S 41 20,DYNA,DEMO
