COV #,VIN,Model,Model Name,Color,Plate #,Model Family,Demo or Display
41652,1HD1HPH10GC800050,VRSCF,V-Rod Muscle,CR ICE PRL DLX,,V-Rod,DEMO
41653,1HD1HPH13GC800401,VRSCF,V-Rod Muscle,VELOCITY RED FLM,,V-Rod,DEMO
41654,1HD1TEN11GB950553,FLHTKSE,CVO Limited,C DST/EL REDPRL,R 41 77,TOURING,DEMO
41655,,FLHTKSE,CVO Limited,C DST/EL REDPRL,U 41 56,TOURING,DEMO
41656,1HD1TEN14GB950322,FLHTKSE,CVO Limited,CHR SLT/PAL SLV,,TOURING,DEMO
41657,1HD1TEN10GB950401,FLHTKSE,CVO Limited,PAL SLV/PHN BLU,R 41 12,TOURING,DEMO
41658,1HD1PXN1XGB950115,FLHXSE,CVO Street Glide,ATMCRED/CNDYAPL,,TOURING,DEMO
41659,1HD1PXN11GB950102,FLHXSE,CVO Street Glide,BLK LIC/MDNTCBT,,TOURING,DEMO
41660,1HD1PXN1XGB950101,FLHXSE,CVO Street Glide,BLK LIC/MDNTCBT,,TOURING,DEMO
41661,1HD1PXN10GB950544,FLHXSE,CVO Street Glide,WHTAMTH/BLK LIC,,TOURING,DEMO
41662,1HD1TAN12GB950120,FLTRUSE,CVO Road Glide Ultra,RBY RED/PAL SLV,,TOURING,DEMO
41663,1HD1TAN11GB950111,FLTRUSE,CVO Road Glide Ultra,STR SLV/PAL SLV,,TOURING,DEMO
41664,1HD1TAN15GB950094,FLTRUSE,CVO Road Glide Ultra,STR SLV/PAL SLV,,TOURING,DEMO
41665,1HD1TAN1XGB950382,FLTRUSE,CVO Road Glide Ultra,CHR SLT/CARB DT,,TOURING,DEMO
41666,1HD1FBM13GB607461,FLHR,Road King,VELOCITY RED,,TOURING,DEMO
41667,1HD1FBM10GB607367,FLHR,Road King,DEEP JADE/BLK,,TOURING,DEMO
41668,1HD1FCM17GB604195,FLHTCU,Ultra Classic,SUPERIOR BLUE,,TOURING,DEMO
41669,1HD1FCM19GB605784,FLHTCU,Ultra Classic,WHSKY/CHAR PRL,,TOURING,DEMO
41670,1HD1FCM1XGB603784,FLHTCU,Ultra Classic,MYS RED/VEL RED,,TOURING,DEMO
41671,1HD1KDM11GB604534,FLHTCUL,Ultra Classic Low,BLACK,,TOURING,DEMO
41672,1HD1KDM12GB603781,FLHTCUL,Ultra Classic Low,MYS RED/VEL RED,,TOURING,DEMO
41673,1HD1KDM16GB603668,FLHTCUL,Ultra Classic Low,COSMIC BLUE PRL,,TOURING,DEMO
41674,1HD1KEL16GB603693,FLHTK,Ultra Limited,BLACK QUARTZ,,TOURING,DEMO
41675,1HD1KEL11GB605593,FLHTK,Ultra Limited,WHSKY/V BLK,,TOURING,DEMO
41676,1HD1KEL18GB602853,FLHTK,Ultra Limited,DEEP JADE/BLK,,TOURING,DEMO
41677,1HD1KEL17GB601175,FLHTK,Ultra Limited,BIL SLVR/V BLK,,TOURING,DEMO
41678,1HD1KKL14GB602640,FLHTKL,Ultra Limited,BLACK,S 41 07,TOURING,DEMO
41679,1HD1KKL1XGB603386,FLHTKL,Ultra Limited,MYS RED/VEL RED,S 41 37,TOURING,DEMO
41680,1HD1KKL10GB604482,FLHTKL,Ultra Limited,PRPLFR/BLKBY SM,,TOURING,DEMO
41681,1HD1KKL13GB604167,FLHTKL,Ultra Limited,COSMIC BLUE PRL,,TOURING,DEMO
41682,1HD1KBM15GB607604,FLHX,Street Glide,BLACK,P 41 76,TOURING,DEMO
41683,1HD1KBM18GB607144,FLHX,Street Glide,CRUSHED ICE PRL,,TOURING,DEMO
41684,1HD1KRM12GB606211,FLHXS,Street Glide Special,BLACK DENIM,,TOURING,DEMO
41685,1HD1KRM16GB601898,FLHXS,Street Glide Special,VELOCITY RED,,TOURING,DEMO
41686,1HD1KRM14GB604332,FLHXS,Street Glide Special,COSMIC BLUE PRL,,TOURING,DEMO
41687,1HD1KRM17GB604468,FLHXS,Street Glide Special,HC BLK GOLD FLK,,TOURING,DEMO
41688,1HD1KGL14GB606510,FLTRU,Road Glide Ultra,BLACK,P 41 64,TOURING,DEMO
41689,1HD1KGL14GB606135,FLTRU,Road Glide Ultra,SUPERIOR BLUE,,TOURING,DEMO
41690,1HD1KGL15GB608380,FLTRU,Road Glide Ultra,BIL SLVR/V BLK,R 41 70,TOURING,DEMO
41691,1HD1KGL1XGB606222,FLTRU,Road Glide Ultra,COSMIC BLUE PRL,,TOURING,DEMO
41692,1HD1KHM10GB601227,FLTRX,Road Glide,CHARCOAL PEARL,,TOURING,DEMO
41693,1HD1KHM10GB603477,FLTRX,Road Glide,BLACK DENIM,,TOURING,DEMO
41694,1HD1KHM18GB607521,FLTRX,Road Glide,HC GOLD FLAKE,F 41 26,TOURING,DEMO
41695,1HD1KTM17GB601244,FLTRXS,Road Glide Special ,SUPERIOR BLUE,,TOURING,DEMO
41696,1HD1KTM18GB603651,FLTRXS,Road Glide Special ,BLACK QUARTZ,,TOURING,DEMO
41697,1HD1KTM16GB600683,FLTRXS,Road Glide Special ,VELOCITY RED,S 41 80,TOURING,DEMO
41698,1HD1KTM16GB604166,FLTRXS,Road Glide Special ,COSMIC BLUE PRL,,TOURING,DEMO
41699,1HD1LC31XGC401872,XL1200X,Forty-Eight,VELOCITY RED,,SPORTSTER,DEMO
41700,1HD4LE210GC403334,XL883N,Iron 883,OLIVE GOLD,,SPORTSTER,DEMO
41701,1HD1VAM14GC300288,FXDBP103,Street Bob,BLACK QUARTZ,,DYNA,DEMO
41702,1HD1VAM17GC300284,FXDBP103,Street Bob,HC GOLD FLK DLX,,DYNA,DEMO
41703,1HD1BWV1XGB010437,FLSTC103,Heritage Softail Classic,SUPERIOR BLUE,,SOFTAIL,DEMO
41704,1HD1BFV18GB011859,FXSB103,Breakout,HC BLK GOLD FLK,,SOFTAIL,DEMO
